name,concentration,pharmaceutical_form,pharmaceutical_short_form,presentation
ISODINE ESPUMA,7.5 %,Solución Tópica,SOLUCION,Frasco X 60 mL
ISODINE ESPUMA,7.5 %,Solución Tópica,SOLUCION,Frasco X 1 L
ISOFACE,20 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsulas Blandas
ISOFACE,10 mg,Cápsula Blanda,CAPSULA,Caja Envase Blíster Capsulas blandas
ISOFLOXX,500 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
ISOFLOXX,750 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
ISOFLOXX,500 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Tabletas
ISOFUNDIN,,Solución para Perfusión,INYECTABLE,Frasco x 500 mL
ISOFUNDIN,,Solución para Perfusión,INYECTABLE,Frasco x 1000 mL
ISONIAZIDA,100 mg/ 5 mL,Jarabe,SOLUCION,Caja Frasco x 200 mL + Jeringa x 5 mL
ISONIAZIDA,100 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ISOPRINOSINE,250 mg/5 mL,Jarabe,SOLUCION,Frasco X 120 mL
ISOPRINOSINE,500 mg,Tableta,TABLETA,Caja Envase Folio Tabletas
ISOPRINOSINE,500 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ISOPRINOSINE,250 mg / 5 mL,Jarabe,SOLUCION,Caja Frasco x 120 mL
ISOPTIN,40 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
ISOPTIN,80 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
ISORBIDE,5 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ISORBIDE ORAL,10 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
ISPIDON,3 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
ISPIDON,2 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
ISPIDON,1 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
ISTARIL,3.75 mg + 23 mg,Cápsula de Liberación Prolongada,CAPSULA,Caja Envase Blíster Cápsulas de Liberación Prolongada
ISTARIL,7.5 mg + 46 mg,Cápsula de Liberación Prolongada,CAPSULA,Caja Envase Blíster Cápsulas de Liberación Prolongada
ISTARIL,15 mg + 92 mg,Cápsula de Liberación Prolongada,CAPSULA,Caja Envase Blíster Cápsulas de Liberación Prolongada
ITAMI,140 mg,Parche Transdérmico,PARCHE,Caja Sobre Parches
ITBAY 120,120 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
ITBAY-90,90 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
ITRACONAZOL,100 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsula
ITRACONAZOL,100 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
ITRACONAZOL,100 mg,Cápsula,CAPSULA,Caja Envase Blister Tabletas
ITRAMICOL,100 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
ITRAMILAB,100 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
ITRAXIN,100 mg / 5 mL,Concentrado para Solución para Perfusión,INYECTABLE,Caja Vial x 5 mL
ITRAZOL,100 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
ITUBIOT,500 mg/ 2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
ITUBIOT-F,1 g/ 4mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 4 mL
IVEMEND,150 mg,Polvo para Solución para Perfusión,INYECTABLE,Caja Vial x 10 mL
IVEMEND,150 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial X 10 mL
IVERCREM,1%,Crema,CREMA,Caja Tubo x 30 g
IVERMECTINA,6 mg /mL,Solución Oral,SOLUCION,Caja Frascos x 10 mL
IVERMECTINA,0.6 %,Solución Oral,SOLUCION,Frasco Gotero x 5 mL
IVERMECTINA,6 mg/ mL,Solución Oral,SOLUCION,Frasco Gotero x 10 mL
IVERMECTINA,6 mg/ mL,Solución Oral,SOLUCION,Frasco Gotero x 5 mL
IVERMECTINA,6 mg/ mL,Solución Oral,SOLUCION,Caja Frasco Gotero x 10 mL
IVERMECTINA,6 mg/ mL,Solución Oral,SOLUCION,Caja Frasco Gotero x 5 mL
IVF C,5 000 UI,Polvo para Solución Inyectable,INYECTABLE,Caja Vial + Solvente
IXEL,6 mg/ mL,Solución Oral,SOLUCION,Caja Frasco x 5 mL
IXEL,6 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
IXEMPRA,45 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
IXEMPRA,15 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
IXIFI,100 mg,POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION,INYECTABLE,Caja Vial
IXIUM,100 mg,Comprimido de liberación prolongada,TABLETA,Caja Envase Blíster Comprimidos de Liberación Prolongada
IXIUM,50 mg,Comprimido de liberación prolongada,TABLETA,Caja Envase Blíster Comprimidos de Liberación Prolongada
IZONIT M,40 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
IZONIT- M,40 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
J TRIM BALSÁMICO,800 mg + 160 mg + 200 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
J. TRIM BALSAMICO,,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
J.TRIM BALSAMICO,,Suspensión Oral,SUSPENSION,Frasco X 60 mL
J.TRIM BALSAMICO,,Suspensión Oral,SUSPENSION,Caja Frasco x 100 mL
J.TRIM BALSAMICO,200 mg + 40 mg + 50 mg /5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 100 mL + Accesorio
J.TRIM BALSAMICO,800 mg + 160 mg + 200 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
JADELLE,75 mg,Implante en Jeringa Precargada,IMPLANTE,Caja Bolsa Implantes x 2
JAIMICIL,1%,Crema,CREMA,Caja Tubo x 20 g
JAKAVI,5 mg,Comprimido,TABLETA,Caja Envase Blíster Comprimidos
JAKAVI,15 mg,Comprimido,TABLETA,Caja Envase Blíster Comprimidos
JAMLICINA 5,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
JAMOL 5,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
JAMSUPRAL,1000 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
JANUMET,50 mg + 1000 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
JANUMET,50 mg + 500 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
JANUMET,50 mg + 850 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
JANUMET,50 mg + 850 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubiertos
JANUMET,50 mg + 1000 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
JANUMET,50 mg + 500 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
JANUVIA,50 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
JANUVIA,100 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
JANUVIA,50 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubiertos
JANUVIA,100 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubiertos
JANVAX,5 mg,Comprimido Recubierto,TABLETA,Caja Frasco x 60 Comprimidos Recubiertos
JAPICOL,20 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
JAQUESIL® FORTE,500 mg + 65 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
JARDIANCE,10 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
JARDIANCE,25 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
JARDIANCE,10 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
JARDIANCE,25 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
JARDIANCE DUO,12.5 mg + 1 g,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
JARDIANCE DUO,12.5 mg + 1 g,Comprimido Recubierto,TABLETA,Caja Envase Blister 60 Comprimidos
JARDIANCE DUO,12.5 mg + 850 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
JARDIANCE DUO,12.5 mg / 850 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimido Recubierto
JARDIANCE DUO,12.5 mg / 1000 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimido Recubierto
JARIT,200 mg,Cápsula Blanda,CAPSULA,Caja Frasco Cápsulas Blandas
JARIT,200 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsulas
JAYDESS,13.5 mg,Sistema de Liberación Intrauterino,SISTEMA,Caja Envase Blister Sistema Intruterino
JET FLOX 500,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
JOLIAN,3 mg + 0.02 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
JUNIDOL,100 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco X 60 mL
JUSTUM,1 g,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
JUSTUM 500,500 mg/5 mL,Polvo para Suspensión Oral,SUSPENSION,Frasco X 75 mL
KADCYLA,100 mg,Polvo para Solución para Perfusión,INYECTABLE,Caja Vial
KADCYLA,160 mg,Polvo para Solución para Perfusión,INYECTABLE,Caja Vial
KALBITOR,10 mg/ml,Solución Inyectable,INYECTABLE,Caja x 3 viales
KALETRA,80 mg + 20 mg/ mL,Solución Oral,SOLUCION,Caja Frasco x 160 mL + Accesorio
KALFREX,1 g/ 5 mL,Suspensión Oral,SUSPENSION,Frasco x 180 mL
KALIUM,20 %,Concentrado para Solución para Perfusión,INYECTABLE,Ampolla x 10 mL
KALIUM,20 %,Concentrado para Solución para Perfusión,INYECTABLE,Caja Ampolla x 10 mL
KALLOZIL,17 g/ 100 mL,Solución Tópica,SOLUCION,Caja Frasco x 8 mL	 + accesorio
KALLOZIL,17 g/ 100 mL,Solución Tópica,SOLUCION,Caja Frasco x 8 mL
KALYUM CLORATUM,20 %,Solución Inyectable,INYECTABLE,Caja Ampolla X 10 mL
KANJINTI,420 mg,POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION,INYECTABLE,Caja Vial + Vial x 20 mL
KANJINTI,150 mg,POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION,INYECTABLE,Caja Vial
KARID,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
KARID,250 mg/5 mL,Granulos para Suspensión Oral,GRANULOS,Frasco X 50 mL
KARID,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KASTMAR,5 mg,Tableta Masticable,TABLETA,Caja Envase Blister Tabletas
KAZIDE,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KEALIVIA-DEL,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
KEDOL,10 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
KEDOL,60 mg/2 mL,Solución Inyectable,INYECTABLE,Ampolla X 2 mL + Accesorios
KEFDYL®,500 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
KEFLEX,250 mg/5 mlL,Suspensión Oral,SUSPENSION,Caja Frasco x 75 mL
KEFLEX,250 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 100 mL
KEFLEX,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KEFLEX,250 mg,Suspensión Oral,SUSPENSION,Frasco X 100 mL
KEFLEX,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
KEFLEX,1 g,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
KELAC,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
KELAC,20 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
KELEXYN,500 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
KENACORT A,10 mg/mL,Suspensión Inyectable,INYECTABLE,Caja Vial X 5 mL
KENADOL,50 mg/5 mL,Suspensión Inyectable,INYECTABLE,Caja Vial x 5 mL
KENAFLAM,0.025 %,Crema,CREMA,Caja Tubo x 60 g
KENAFLAM,0.025 %,Crema,CREMA,Tubo x 60 g
KENAFRENT,"0,025 %",Crema Tópica,CREMA,Caja Tubo x 60 g
KENAFRENT,0.025 %,Crema,CREMA,Tubo X 60 g
KENAFRENT,0.025 %,Loción,LOCION,Frasco X 60 mL
KENAFRENT,0.025 %,Crema,CREMA,Caja Tubo x 60 g
KENAFRENT,0.025 %,Loción,LOCION,Caja Frasco Gotero x 60 mL
KENALER,0.05%,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 5 mL
KENALGEST,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KENIDOL,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
KENOPLAST - KEFENTECH,30 mg,Parche Transdérmico,PARCHE,Caja Sobres x 7 parches
KEPPRA,100 mg/mL,Solución Oral,SOLUCION,Caja Frasco x 300 mL + Accesorios
KEPPRA,1 g,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KEPPRA,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KETABALSIL,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KETACOR,60 mg/2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
KETACOR,30 mg/mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 1 mL
KETAJEX,50 mg/mL,Solución Inyectable,INYECTABLE,Caja Vial x 10 mL
KETAJEX,50 mg/ mL,Solución Inyectable,INYECTABLE,Caja Vial x 10 mL
KETAMAX 50,50 mg/ mL,Solución Inyectable,INYECTABLE,Caja Vial x 10 mL
KETAMINA,500 mg/10 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 10 mL
KETAMINA,500 mg/ 10 mL,Solución Inyectable,INYECTABLE,Caja Vial x 10 mL
KETAMINA,50 mg/mL,Solución Inyectable,INYECTABLE,Caja Ampollas X 10 mL
KETANEN,60 mg/2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
KETANEN,30 mg/mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 1 mL
KETANIR,50 mg/mL,Solución Inyectable,INYECTABLE,Caja Vial X 10 mL
KETAXAL,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KETAZAR,500 mg / 10 mL,Solución Inyectable,INYECTABLE,Caja Vial x 10 mL
KETAZAR,500 mg/ 10 mL,Solución Inyectable,INYECTABLE,Caja Vial x 10 mL
KETEROBRAT 10,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KETESSE,25 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KETESSE,50 mg/2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
KETESSE,50 mg/2mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
KETESSE,25 mg,Solución Oral,SOLUCION,Caja Sobre x 10 mL
KETOALGIN,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
KETOALIV,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
KETOCON,2 %,Crema,CREMA,Caja Tubo x 15 g
KETOCON,2 %,Crema,CREMA,Caja Tubo x 20 g
KETOCON,200 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
KETOCONAZOL,200 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
KETOCONAZOL,2 %,Crema,CREMA,Caja Tubo x 30 g
KETOCONAZOL,2 %,Crema,CREMA,Caja Tubo x 20 g
KETOCONAZOL,2 %,Crema,CREMA,Tubo X 20 g
KETOCONAZOL,2 %,Crema,CREMA,Caja Tubo x 10 g
KETODAZOL,200 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
KETODAZOL-200,200 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
KETODOL,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
KETODOL,30 mg/ mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 1 mL
KETODOL,60 mg/ 2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
KETOFENID 100,100 mg,Tableta,TABLETA,Caja Envase Blister Tabletas de Liberación Retardada
KETOFENID 100,100 mg,Tableta de Liberación Retardada,TABLETA,Caja Envase Blister Tabletas
KETOFUNGOL,200 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
KETOFUNGOL,2 %,Crema,CREMA,Caja Tubo X 20 g
KETOGEL,2.5 %,Gel,JALEA,Caja Tubo x 30 g
KETOGEL,2.5 %,Gel,JALEA,Caja Tubo x 60 g
KETOMED,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
KETONES,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KETONES,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
KETONIL,2 %,Champú,CHAMPU,Caja Frasco x 130 mL
KETONIL,2%,Champú,CHAMPU,Caja Frasco x 130 mL
KETOPAN,100 mg/5 mL,Solución Inyectable,INYECTABLE,Ampolla x 5 mL
KETOPAN,100 mg/2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
KETOPAN,100 mg/5 mL,Solución Inyectable,INYECTABLE,Vial
KETOPAN,100 mg/5 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 5 mL
KETOPAN,100 mg/ 5 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 5mL
KETOPHARM,30 mg/ mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 1 mL
KETOPHARM,60 mg/ 2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
KETOPLUS,100 mg/ 5mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 5mL
KETO-PRO-DEL,200 mg,Cápsula de Liberación Prolongada,CAPSULA,Caja Envase Folio Cápsula de Liberación Prolongada
KETOPROFENO,100 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
KETOPROFENO,150 mg,Comprimido recubierto de liberación prolongada,TABLETA,Caja Envase Blíster Comprimido Recubierto
KETOPROFENO,100 mg/ 2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
KETOPROFENO,100 mg,Tableta Recubierta de Liberación Retardada,TABLETA,Caja Envase Blister Tabletas
KETOPROFENO,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
KETOPROFENO,100 mg/5 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
KETOPROFENO,100 mg/2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
KETOPROFENO,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
KETOPROFENO,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KETOPROPHARM - IV,100 mg/ 5 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 5 mL
KETOPROPHARM IV,100 mg/5 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 5 mL
KETOPROX,150 mg,Cápsula de Liberación Prolongada,CAPSULA,Caja Envase Blíster Cápsula de Liberación Prolongada
KETOPROX,150 mg,Cápsula de Liberación Prolongada,CAPSULA,Caja Envase Blister Cápsula de Liberación Prolongada
KETORGES 60,60 mg/2mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
KETOROLACO,60 g/2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
KETOROLACO,30 mg/1mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 1 mL
KETOROLACO,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KETOROLACO,30 mg/mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 1 mL
KETOROLACO,60 mg/2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
KETOROLACO,30 mg/ mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 1 mL
KETOROLACO,60 mg/ 2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
KETOROLACO,10 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
KETOROLACO,30 mg/mL,Solución Inyectable,INYECTABLE,Ampolla X 1 mL
KETOROLACO,60 mg/2 mL,Solución Inyectable,INYECTABLE,Ampolla X 2 mL
KETOROLACO,30 mg/mL,Solución Inyectable,INYECTABLE,Vial
KETOROLACO,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
KETOROLACO,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
KETOSSONE,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KETOSTERIL,,Comprimido Recubierto,TABLETA,Caja Bolsa Envase Blister Comprimidos
KETOSTERIL,,Comprimido Recubierto,TABLETA,Caja Bolsa Envase Blíster Comprimido Recubierto
KETOTIFENO,1 mg,Jarabe,SOLUCION,Caja Frasco X 60 mL
KETOTIFENO,1 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KETOX,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KETOZOL,60 mg/ 2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
KETOZOL,30 mg/mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 1 mL
KETOZOL,30 mg/mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 1mL
KETOZOL,60 mg/2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
KETOZOL,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
KETRADOL,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
KETRADOL,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
KETRADOL,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
KETRADOL,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KETRAGESICO,2.5 %,Gel,JALEA,Tubo X 60 g
KETRAGESICO FORTE,3 %,Gel,JALEA,Caja Tubo x 50 g
KETSIC,100 mg,Tableta,TABLETA,Caja Envase Blister Tableta
KEVAL,40 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimido Recubierto
KEVIRAN,1 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
KEVIRAN,0.5 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
KEYTRUDA,100 mg/4 mL,Concentrado para Solución para Perfusión,INYECTABLE,Caja Vial X 4 mL
KILACINOX 300,300 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
KILACINOX 300,300 mg,Cápsula,CAPSULA,Caja Envase Blister Capsulas
KILBAC 500,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KILBAC- 500,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta
KIMBER,200 mcg,Tableta Recubierta,TABLETA,Caja Envase Folio Tableta Recubierta
KIMISOL,2 %,Crema Vaginal,CREMA,Caja Tubo x 20 g
KIMLUX FORTE,15 mg/ 4 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
KINABIDE,5 mg,Comprimido,TABLETA,Caja Envase Blíster Comprimidos
KINAPROX F,550 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KINEMAX,25 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
KINEMAX,50 mg/ 2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
KIPANIB,400 mg,Comprimido Recubierto,TABLETA,Caja Frasco Comprimido Recubierto
KISQALI ®,200 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubiertos
KITA GRIP COMPUESTO,,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
KITADOL,500 mg,Tableta,TABLETA,Caja Dispensadora Sobre x 02 tabletas
KITADOL,500 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
KITADOL,500 mg,Tableta,TABLETA,Caja Dispensadora Tabletas
KITADOL,500 mg,Tableta,TABLETA,Caja Dispensadora de Tabletas
KITADOL MIGRAÑA,,Tableta Recubierta,TABLETA,Caja Dispensadora Sobre x 2 Tabletas
KITADOL MIGRAÑA,500 mg + 65 mg,Tableta Recubierta,TABLETA,Caja Dispensadora Sobre x 2 Tabletas
KITADOL MIGRAÑA,500 mg + 65 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KITADOL MIGRAÑA,500 mg + 65 mg,Tableta Recubierta,TABLETA,Caja Dispensadora Tabletas
KITADOL MIGRAÑA,500 mg + 65 mg,Tableta Recubierta,TABLETA,Caja Sobre x 2 Tabletas Recubiertas
KITADOL MIGRAÑA,500 mg + 65 mg,Tableta Recubierta,TABLETA,Caja Envase Tableta Recubierta
KITAGRIP COMPUESTO,,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KITAMASS,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubierta
KITAMASS,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
KL BAC,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KLARICID,125 mg/5 mL,Granulos para Suspensión Oral,GRANULOS,Caja Frasco x 50 mL
KLARICID,250 mg/5 mL,Granulos para Suspensión Oral,GRANULOS,Caja Frasco x 50 mL
KLARICID 500,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KLARICID I.V.,500 mg,Polvo para Solución Inyectable,INYECTABLE,Vial
KLARICID I.V.,500 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Víal
KLARIFOR,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
KLARIMICIN-500,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
KLARIPLUS,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
KLARIPLUS,250 mg/ 5 mL,Granulos para Suspensión Oral,GRANULOS,Caja Frasco x 60 mL + Accesorio
KLARIPLUS,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KLARISTALIP,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
KLARIXAN,250 mg/ 5 mL,Granulos para Suspensión Oral,GRANULOS,Frasco x 50 mL
KLARIXOL,125 mg/5 mL,Granulos para Suspensión Oral,GRANULOS,Frasco X 60 mL
KLARIXOL,250 mg/5 mL,Granulos para Suspensión Oral,GRANULOS,Frasco X 60 mL
KLARIXOL,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
KLARIXOL,125 mg/ 5 mL,Granulos para Suspensión Oral,GRANULOS,Caja Frasco x 60 mL
KLARIXOL,250 mg/5 mL,Granulos para Suspensión Oral,GRANULOS,Caja Frasco x 60 mL
